,title,price,url,item_id,bid_count,location,condition,start_time,date,sold_amount,date_sold,rating
245,1986 FLEER #57 MICHAEL JORDAN ROOKIE RC PSA 4,3799.99,https://www.ebay.com/itm/1986-FLEER-57-MICHAEL-JORDAN-ROOKIE-RC-PSA-4-/305979641732,305979641732,,"New Castle,DE,USA",Graded,2024-12-17,2025-01-09,3799.99,Active,4
247,MICHAEL JORDAN 1986 FLEER #57 RC ROOKIE CARD PSA 5,5599.99,https://www.ebay.com/itm/MICHAEL-JORDAN-1986-FLEER-57-RC-ROOKIE-CARD-PSA-5-/116312530881,116312530881,,"Manchester,NH,USA",Graded,2024-09-02,2025-01-09,5599.99,Active,5
248,1992 Stadium Club MEMBERS ONLY 1 Michael Jordan PSA 10 Gem Mint Rarer 1986 Fleer,1799.0,https://www.ebay.com/itm/1992-Stadium-Club-MEMBERS-ONLY-1-Michael-Jordan-PSA-10-Gem-Mint-Rarer-1986-Fleer-/196650392056,196650392056,,"Hicksville,NY,USA",Graded,2024-09-19,2025-01-09,1799.0,Active,10
249,1986 Fleer Michael Jordan Rookie Basketball Card #57 PSA 4 RC VG-EX 1986-87,5999.0,https://www.ebay.com/itm/1986-Fleer-Michael-Jordan-Rookie-Basketball-Card-57-PSA-4-RC-VG-EX-1986-87-/276655446314,276655446314,,Australia,Graded,2024-09-24,2025-01-09,5999.0,Active,4
250,1986 Fleer Michael Jordan Rookie #57 PSA 4.5 Chicago Bulls Rookie Card,3799.99,https://www.ebay.com/itm/1986-Fleer-Michael-Jordan-Rookie-57-PSA-4-5-Chicago-Bulls-Rookie-Card-/405238565704,405238565704,,"Brooklyn,NY,USA",Graded,2024-09-19,2025-01-09,3799.99,Active,4
251,1986 Fleer Sticker Michael Jordan # 8 BGS 7,950.0,https://www.ebay.com/itm/1986-Fleer-Sticker-Michael-Jordan-8-BGS-7-/315685773260,315685773260,,"Williamston,MI,USA",Graded,2024-08-20,2025-01-09,950.0,Active,7
252,1986 Fleer Michael Jordan RC #57 BGS 5.5 Excellent+ Chicago Bulls,4499.99,https://www.ebay.com/itm/1986-Fleer-Michael-Jordan-RC-57-BGS-5-5-Excellent-Chicago-Bulls-/186364515247,186364515247,,"Howell,NJ,USA",Graded,2024-03-27,2025-01-09,4499.99,Active,5
253,1986 Fleer #57 Michael Jordan ROOKIE PSA 8 NM-MT Nice Centering,9800.0,https://www.ebay.com/itm/1986-Fleer-57-Michael-Jordan-ROOKIE-PSA-8-NM-MT-Nice-Centering-/294684379364,294684379364,,"Elgin,IL,USA",Graded,2022-01-02,2025-01-09,9800.0,Active,8
254,Michael Jordan 1986 Fleer Sticker #8 PSA 6,688.5,https://www.ebay.com/itm/Michael-Jordan-1986-Fleer-Sticker-8-PSA-6-/387450030803,387450030803,,"Burlington,WA,USA",Graded,2024-10-05,2025-01-09,688.5,Active,6
255,1986 FLEER STICKER #8 MICHAEL JORDAN ROOKIE RC PSA 7 ST,850.0,https://www.ebay.com/itm/1986-FLEER-STICKER-8-MICHAEL-JORDAN-ROOKIE-RC-PSA-7-ST-/306008815217,306008815217,,"New Castle,DE,USA",Graded,2024-12-30,2025-01-09,850.0,Active,7
256,1986-87 Fleer Sticker #8 Michael Jordan RC Rookie BGS 7.5 High Subgrades w/ 9,999.0,https://www.ebay.com/itm/1986-87-Fleer-Sticker-8-Michael-Jordan-RC-Rookie-BGS-7-5-High-Subgrades-w-9-/226393722321,226393722321,,"San Jose,CA,USA",Graded,2024-10-10,2025-01-09,999.0,Active,7
257,Michael Jordan Rookie BGS 6 Vintage MJ Collector Card 1986 Star RC Chicago Bulls,961.5,https://www.ebay.com/itm/Michael-Jordan-Rookie-BGS-6-Vintage-MJ-Collector-Card-1986-Star-RC-Chicago-Bulls-/124532419719,124532419719,,"Brookings,SD,USA",Graded,2021-01-17,2025-01-09,961.5,Active,6
258,1986 Fleer #57 Michael Jordan Rookie Chicago Bulls Basketball Card PSA 6🐐🔥🔥🔥,5500.0,https://www.ebay.com/itm/1986-Fleer-57-Michael-Jordan-Rookie-Chicago-Bulls-Basketball-Card-PSA-6-/387576338469,387576338469,,"Weslaco,TX,USA",Graded,2024-11-03,2025-01-09,5500.0,Active,6
259,1986 Fleer #57 RC ☄️ Autograph ☄️ BGS 6.5 Auto 10 UDA COA 1 of 1 MICHAEL JORDAN,500000.23,https://www.ebay.com/itm/1986-Fleer-57-RC-Autograph-BGS-6-5-Auto-10-UDA-COA-1-1-MICHAEL-JORDAN-/226377389309,226377389309,,"Peoria,AZ,USA",Graded,2024-09-30,2025-01-09,500000.23,Active,6
260,MICHAEL JORDAN   1986-87 FLEER Rookie #57 PSA 8  so clean!!!,9999.95,https://www.ebay.com/itm/MICHAEL-JORDAN-1986-87-FLEER-Rookie-57-PSA-8-so-clean-/226051746277,226051746277,,"Knoxville,TN,USA",Graded,2024-03-18,2025-01-09,9999.95,Active,8
261,1986 FLEER BASKETBALL # 8 MICHAEL JORDAN STICKER 🏀🔥 BGS 7.5,975.0,https://www.ebay.com/itm/1986-FLEER-BASKETBALL-8-MICHAEL-JORDAN-STICKER-BGS-7-5-/305200796090,305200796090,,"Macomb,MI,USA",Graded,2023-10-13,2025-01-09,975.0,Active,7
262,1986 Fleer Sticker #8 Michael Jordan PSA 8 NM-MT *Chicago Bulls*,1499.99,https://www.ebay.com/itm/1986-Fleer-Sticker-8-Michael-Jordan-PSA-8-NM-MT-Chicago-Bulls-/125885127282,125885127282,,"Port Monmouth,NJ,USA",Graded,2023-04-15,2025-01-09,1499.99,Active,8
263,1986 Fleer Basketball Sticker #8 Michael Jordan Rookie Card Graded PSA 9 MINT,4499.99,https://www.ebay.com/itm/1986-Fleer-Basketball-Sticker-8-Michael-Jordan-Rookie-Card-Graded-PSA-9-MINT-/306022084865,306022084865,,"Windsor,CO,USA",Graded,2025-01-06,2025-01-09,4499.99,Active,9
264,86 87 FLEER FUSION #57 MICHAEL JORDAN  Game Worn Patch BGS 5! Very Rare! 🏀🏀🔥,6599.0,https://www.ebay.com/itm/86-87-FLEER-FUSION-57-MICHAEL-JORDAN-Game-Worn-Patch-BGS-5-Very-Rare-/126573618386,126573618386,,"Huxley,IA,USA",Graded,2024-07-13,2025-01-09,6599.0,Active,5
265,1986 Fleer Basketball #57 Michael Jordan RC Rookie  PSA 8 Great Condition 🔥🔥,8500.0,https://www.ebay.com/itm/1986-Fleer-Basketball-57-Michael-Jordan-RC-Rookie-PSA-8-Great-Condition-/296498983355,296498983355,,"Brookfield,IL,USA",Graded,2024-06-12,2025-01-09,8500.0,Active,8
266,1986 Fleer Michael Jordan #57 PSA 5,5999.99,https://www.ebay.com/itm/1986-Fleer-Michael-Jordan-57-PSA-5-/226466937281,226466937281,,"Englewood,FL,USA",Graded,2024-11-26,2025-01-09,5999.99,Active,5
267,2006 FLEER 86-87 20TH ANV #57 MICHAEL JORDAN PSA 10,1200.0,https://www.ebay.com/itm/2006-FLEER-86-87-20TH-ANV-57-MICHAEL-JORDAN-PSA-10-/306007921400,306007921400,,"New Castle,DE,USA",Graded,2024-12-30,2025-01-09,1200.0,Active,10
268,1986 Fleer Michael Jordan #57 BGS 9 Rookie RC,21500.0,https://www.ebay.com/itm/1986-Fleer-Michael-Jordan-57-BGS-9-Rookie-RC-/395780029937,395780029937,,"Claremont,CA,USA",Graded,2024-10-09,2025-01-09,21500.0,Active,9
269,1986 Fleer Basketball CLARK KELLOGG # 58 PSA 8 NM-MINT GRADED Set Break Sale !,22.75,https://www.ebay.com/itm/1986-Fleer-Basketball-CLARK-KELLOGG-58-PSA-8-NM-MINT-GRADED-Set-Break-Sale-/316091600069,316091600069,,"Gainesville,TX,USA",Graded,2024-12-31,2025-01-09,22.75,Active,8
270,Michael Jordan 1986 Fleer Sticker Rookie PSA 6,750.0,https://www.ebay.com/itm/Michael-Jordan-1986-Fleer-Sticker-Rookie-PSA-6-/305910250953,305910250953,,"Dyer,IN,USA",Graded,2024-11-15,2025-01-09,750.0,Active,6
271,1986-87 Fleer Basketball #57 Michael Jordan  HOF BGS 8 NM-MT,6000.0,https://www.ebay.com/itm/1986-87-Fleer-Basketball-57-Michael-Jordan-HOF-BGS-8-NM-MT-/196625346610,196625346610,,"Hamilton,OH,USA",Graded,2024-09-10,2025-01-09,6000.0,Active,8
272,1986-87 Fleer MICHAEL JORDAN Sticker RC PSA 5 EX Bulls #8,549.99,https://www.ebay.com/itm/1986-87-Fleer-MICHAEL-JORDAN-Sticker-RC-PSA-5-EX-Bulls-8-/205210168018,205210168018,,"Bradenton,FL,USA",Graded,2025-01-07,2025-01-09,549.99,Active,5
274,1986 Fleer Basketball MANUTE BOL #12 PSA 8 NM-MINT GRADED Set Break BULLETS !,35.95,https://www.ebay.com/itm/1986-Fleer-Basketball-MANUTE-BOL-12-PSA-8-NM-MINT-GRADED-Set-Break-BULLETS-/316091572329,316091572329,,"Gainesville,TX,USA",Graded,2024-12-31,2025-01-09,35.95,Active,8
275,1986 Fleer Basketball #57 Michael Jordan Rookie Card RC PSA 8 NM MINT,8999.99,https://www.ebay.com/itm/1986-Fleer-Basketball-57-Michael-Jordan-Rookie-Card-RC-PSA-8-NM-MINT-/363981425401,363981425401,,"New York,NY,USA",Graded,2022-09-15,2025-01-09,8999.99,Active,8
277,1986 FLEER Basketball 🔥 MICHAEL JORDAN Rookie #8 Sticker 🔥 PSA 9 MINT RC,4200.0,https://www.ebay.com/itm/1986-FLEER-Basketball-MICHAEL-JORDAN-Rookie-8-Sticker-PSA-9-MINT-RC-/167010983643,167010983643,,"Seattle,WA,USA",Graded,2024-10-07,2025-01-09,4200.0,Active,9
278,1996 Fleer Decade of Excellence #4 Michael Jordan Bulls 1986 RP BGS 8.5,75.0,https://www.ebay.com/itm/1996-Fleer-Decade-Excellence-4-Michael-Jordan-Bulls-1986-RP-BGS-8-5-/305946534999,305946534999,,"Cincinnati,OH,USA",Graded,2024-12-01,2025-01-09,75.0,Active,8
279,Michael Jordan Rookie Card 1986-87 Fleer Stickers #8 BGS 8.5,2500.0,https://www.ebay.com/itm/Michael-Jordan-Rookie-Card-1986-87-Fleer-Stickers-8-BGS-8-5-/365302622243,365302622243,,"Arlington,TX,USA",Graded,2024-12-23,2025-01-09,2500.0,Active,8
280,1986 Fleer Michael Jordan RC Sticker #8 Graded PSA 8 NM-MT And eBay Verified,1195.0,https://www.ebay.com/itm/1986-Fleer-Michael-Jordan-RC-Sticker-8-Graded-PSA-8-NM-MT-And-eBay-Verified-/296925783669,296925783669,,"Calabasas,CA,USA",Graded,2025-01-06,2025-01-09,1195.0,Active,8
281,1986-87 Fleer Michael Jordan Rookie Card BGS 9.5 GEM MINT RC #57,100000.0,https://www.ebay.com/itm/1986-87-Fleer-Michael-Jordan-Rookie-Card-BGS-9-5-GEM-MINT-RC-57-/296901170173,296901170173,,Australia,Graded,2024-12-24,2025-01-09,100000.0,Active,9
282,Michael Jordan 1986-87 Fleer Basketball RC Rookie BGS 7.5 Centered,5999.99,https://www.ebay.com/itm/Michael-Jordan-1986-87-Fleer-Basketball-RC-Rookie-BGS-7-5-Centered-/235730251956,235730251956,,Canada,Graded,2024-09-05,2025-01-09,5999.99,Active,7
283,1986 FLEER #57 MICHAEL JORDAN ROOKIE RC PSA 3,2750.0,https://www.ebay.com/itm/1986-FLEER-57-MICHAEL-JORDAN-ROOKIE-RC-PSA-3-/305959576672,305959576672,,"New Castle,DE,USA",Graded,2024-12-09,2025-01-09,2750.0,Active,3
284,Michael Jordan 1986-87 Fleer Rookie Card RC #57 Graded PSA 2 Good BULLS RC ICON,2199.99,https://www.ebay.com/itm/Michael-Jordan-1986-87-Fleer-Rookie-Card-RC-57-Graded-PSA-2-Good-BULLS-RC-ICON-/315705882622,315705882622,,"Lyndhurst,NJ,USA",Graded,2024-08-28,2025-01-09,2199.99,Active,2
285,MICHAEL JORDAN 1986 Fleer Sticker RC Rookie #8 Graded PSA 5 EX - BULLS,639.99,https://www.ebay.com/itm/MICHAEL-JORDAN-1986-Fleer-Sticker-RC-Rookie-8-Graded-PSA-5-EX-BULLS-/364952013757,364952013757,,"Vancouver,WA,USA",Graded,2024-06-16,2025-01-09,639.99,Active,5
286,Michael Jordan ROOKIE PSA 3 Fleer #57 MJ Collector Card Vintage RC 1986 Chicago,3923.0,https://www.ebay.com/itm/Michael-Jordan-ROOKIE-PSA-3-Fleer-57-MJ-Collector-Card-Vintage-RC-1986-Chicago-/393099843142,393099843142,,"Brookings,SD,USA",Graded,2021-01-17,2025-01-09,3923.0,Active,3
288,1986-87 Fleer MICHAEL JORDAN #57 Rookie RC PSA 7 NM! Chicago Bulls HOF,5000.0,https://www.ebay.com/itm/1986-87-Fleer-MICHAEL-JORDAN-57-Rookie-RC-PSA-7-NM-Chicago-Bulls-HOF-/276588279747,276588279747,,"Westmont,IL,USA",Graded,2024-08-10,2025-01-09,5000.0,Active,7
289,1986-87 FLEER SIDNEY GREEN ROOKIE CARD PSA 8 NM- MINT MICHAEL JORDAN'S BULLS,44.95,https://www.ebay.com/itm/1986-87-FLEER-SIDNEY-GREEN-ROOKIE-CARD-PSA-8-NM-MINT-MICHAEL-JORDANS-BULLS-/134663167783,134663167783,,"Madison,IN,USA",Graded,2023-07-23,2025-01-09,44.95,Active,8
290,1986 Fleer Basketball Tom Chambers PSA 6 EX- MINT GRADED Set Break Sale !,14.5,https://www.ebay.com/itm/1986-Fleer-Basketball-Tom-Chambers-PSA-6-EX-MINT-GRADED-Set-Break-Sale-/316091579306,316091579306,,"Gainesville,TX,USA",Graded,2024-12-31,2025-01-09,14.5,Active,6
291,1986 Fleer Basketball ADRIAN DANTLEY PSA 8 #21 EX - MINT GRADED Set Break Sale !,29.95,https://www.ebay.com/itm/1986-Fleer-Basketball-ADRIAN-DANTLEY-PSA-8-21-EX-MINT-GRADED-Set-Break-Sale-/316091573497,316091573497,,"Gainesville,TX,USA",Graded,2024-12-31,2025-01-09,29.95,Active,8
292,1986 Fleer Sticker Basketball #8 Michael Jordan RC Rookie HOF PSA 8 NM-Mint,1899.94,https://www.ebay.com/itm/1986-Fleer-Sticker-Basketball-8-Michael-Jordan-RC-Rookie-HOF-PSA-8-NM-Mint-/186857364240,186857364240,,"Seattle,WA,USA",Graded,2024-12-30,2025-01-09,1899.94,Active,8
293,1986 FLEER MICHAEL JORDAN #57 PSA 6 EX-MT,5389.99,https://www.ebay.com/itm/1986-FLEER-MICHAEL-JORDAN-57-PSA-6-EX-MT-/167223557515,167223557515,,"Hollywood,FL,USA",Graded,2024-12-31,2025-01-09,5389.99,Active,6
294,1986-87 Fleer Stickers #8 RC Michael Jordan BGS 5.5 w/9.5 Centering!,1500.0,https://www.ebay.com/itm/1986-87-Fleer-Stickers-8-RC-Michael-Jordan-BGS-5-5-w-9-5-Centering-/226397936729,226397936729,,"Rochester,NY,USA",Graded,2024-10-13,2025-01-09,1500.0,Active,5
295,1986 Fleer Basketball Sticker #8 Michael Jordan Rookie Card RC PSA 7 NM C7,875.0,https://www.ebay.com/itm/1986-Fleer-Basketball-Sticker-8-Michael-Jordan-Rookie-Card-RC-PSA-7-NM-C7-/205207526953,205207526953,,"San Jose,CA,USA",Graded,2025-01-05,2025-01-09,875.0,Active,7
296,1986-87 Fleer MICHAEL JORDAN #8 Sticker RC Rookie BGS 6.5 EX-MT+ Chicago Bulls,749.99,https://www.ebay.com/itm/1986-87-Fleer-MICHAEL-JORDAN-8-Sticker-RC-Rookie-BGS-6-5-EX-MT-Chicago-Bulls-/166816580701,166816580701,,"Honolulu,HI,USA",Graded,2024-06-11,2025-01-09,749.99,Active,6
297,1986 Fleer Basketball Jerry Sichting #101 PSA 5 EX GRADED Set Break Boston !,9.95,https://www.ebay.com/itm/1986-Fleer-Basketball-Jerry-Sichting-101-PSA-5-EX-GRADED-Set-Break-Boston-/316091570800,316091570800,,"Gainesville,TX,USA",Graded,2024-12-31,2025-01-09,9.95,Active,5
298,1986-87 FLEER #57 MICHAEL JORDAN ROOKIE PSA 8 NM-MT CENTERED HIGH END NM-MT,20000.0,https://www.ebay.com/itm/1986-87-FLEER-57-MICHAEL-JORDAN-ROOKIE-PSA-8-NM-MT-CENTERED-HIGH-END-NM-MT-/234615120845,234615120845,,"Rochester,NY,USA",Graded,2022-07-07,2025-01-09,20000.0,Active,8
299,1986 Fleer Basketball Allen Leavell #62 PSA 8 NM- Mint  GRADED Set Break Sale !,22.55,https://www.ebay.com/itm/1986-Fleer-Basketball-Allen-Leavell-62-PSA-8-NM-Mint-GRADED-Set-Break-Sale-/316091596697,316091596697,,"Gainesville,TX,USA",Graded,2024-12-31,2025-01-09,22.55,Active,8
300,1986 FLEER STICKER #8 MICHAEL JORDAN BGS 7.5,1199.99,https://www.ebay.com/itm/1986-FLEER-STICKER-8-MICHAEL-JORDAN-BGS-7-5-/326348488049,326348488049,,"Englewood,FL,USA",Graded,2024-11-22,2025-01-09,1199.99,Active,7
301,1986 Fleer Sticker #8 - MICHAEL JORDAN - PSA 6 - Rookie,1268.0,https://www.ebay.com/itm/1986-Fleer-Sticker-8-MICHAEL-JORDAN-PSA-6-Rookie-/316091542796,316091542796,,Australia,Graded,2024-12-31,2025-01-09,1268.0,Active,6
302,1986 Fleer Basketball BENOIT BENJAMIN 8 PSA 7 NEAR MINT GRADED Set Break Sale !,16.35,https://www.ebay.com/itm/1986-Fleer-Basketball-BENOIT-BENJAMIN-8-PSA-7-NEAR-MINT-GRADED-Set-Break-Sale-/316091587471,316091587471,,"Gainesville,TX,USA",Graded,2024-12-31,2025-01-09,16.35,Active,7
303,1987-88 Michael Jordan BGS 7.5 Near Mint+ 1 Year Post 1986 Fleer Rookie #57!,95.0,https://www.ebay.com/itm/1987-88-Michael-Jordan-BGS-7-5-Near-Mint-1-Year-Post-1986-Fleer-Rookie-57-/146079591946,146079591946,,"Waconia,MN,USA",Graded,2024-10-05,2025-01-09,95.0,Active,7
304,1986 Fleer Michael Jordan #57 BGS 8.5 Rookie RC,7005.0,https://www.ebay.com/itm/1986-Fleer-Michael-Jordan-57-BGS-8-5-Rookie-RC-/355996743285,355996743285,,"New Castle,DE,USA",Graded,2024-08-30,2025-01-09,7005.0,Active,8
305,1986 Fleer #57 Michael Jordan PSA 7,6500.0,https://www.ebay.com/itm/1986-Fleer-57-Michael-Jordan-PSA-7-/235597251856,235597251856,,"Hilmar,CA,USA",Graded,2024-06-06,2025-01-09,6500.0,Active,7
306,1986-87 Fleer MICHAEL JORDAN #57 RC Rookie On-Card Autograph PSA 4 VG-EX 8 Auto,149995.0,https://www.ebay.com/itm/1986-87-Fleer-MICHAEL-JORDAN-57-RC-Rookie-On-Card-Autograph-PSA-4-VG-EX-8-Auto-/276707780531,276707780531,,"Westmont,IL,USA",Graded,2024-10-29,2025-01-09,149995.0,Active,4
307,Michael Jordan ROOKIE PSA 8 (OC) Fleer 1986 Vintage Chicago Bulls Investment #57,8923.0,https://www.ebay.com/itm/Michael-Jordan-ROOKIE-PSA-8-OC-Fleer-1986-Vintage-Chicago-Bulls-Investment-57-/124532349097,124532349097,,"Brookings,SD,USA",Graded,2021-01-17,2025-01-09,8923.0,Active,8
308,1986 Fleer Michael Jordan Rookie PSA 8 NM-MT~ Beautiful Card. Invest Now,15000.0,https://www.ebay.com/itm/1986-Fleer-Michael-Jordan-Rookie-PSA-8-NM-MT-Beautiful-Card-Invest-Now-/385614081603,385614081603,,"Chicago,IL,USA",Graded,2023-05-15,2025-01-09,15000.0,Active,8
309,1986 Fleer Sticker Michael Jordan Rookie #8 PSA 5,699.0,https://www.ebay.com/itm/1986-Fleer-Sticker-Michael-Jordan-Rookie-8-PSA-5-/326383583640,326383583640,,"Schaumburg,IL,USA",Graded,2024-12-25,2025-01-09,699.0,Active,5
310,1986 - 87 Fleer Basketball MICHAEL JORDAN RC #57 PSA 9 (oc) MINT,17625.0,https://www.ebay.com/itm/1986-87-Fleer-Basketball-MICHAEL-JORDAN-RC-57-PSA-9-oc-MINT-/303896969670,303896969670,,"Folsom,CA,USA",Graded,2021-02-24,2025-01-09,17625.0,Active,9
311,1986 Fleer Sticker #8 Michael Jordan PSA 8,1400.0,https://www.ebay.com/itm/1986-Fleer-Sticker-8-Michael-Jordan-PSA-8-/396098544292,396098544292,,"Rochester,NY,USA",Graded,2025-01-06,2025-01-09,1400.0,Active,8
312,1986-87 Fleer Stickers Rookie Michael Jordan #8 PSA 7 R6220J,1000.0,https://www.ebay.com/itm/1986-87-Fleer-Stickers-Rookie-Michael-Jordan-8-PSA-7-R6220J-/176774878633,176774878633,,"Orlando,FL,USA",Graded,2025-01-07,2025-01-09,1000.0,Active,7
314,1986 Fleer Sticker Michael Jordan Rookie #8 PSA 8,1599.99,https://www.ebay.com/itm/1986-Fleer-Sticker-Michael-Jordan-Rookie-8-PSA-8-/296065958941,296065958941,,"San Diego,CA,USA",Graded,2023-11-23,2025-01-09,1599.99,Active,8
315,Spectacular Michael Jordan SILVER METAL CARD - RARE GRADED MINT PSA 9,49.99,https://www.ebay.com/itm/Spectacular-Michael-Jordan-SILVER-METAL-CARD-RARE-GRADED-MINT-PSA-9-/146295032262,146295032262,,"Pearl City,HI,USA",Graded,2024-12-26,2025-01-09,49.99,Active,9
316,2006-07 Fleer 20th Anniversary MICHAEL JORDAN #57 BGS 9.5 Gem Mint,1299.0,https://www.ebay.com/itm/2006-07-Fleer-20th-Anniversary-MICHAEL-JORDAN-57-BGS-9-5-Gem-Mint-/196934694763,196934694763,,Australia,Graded,2025-01-07,2025-01-09,1299.0,Active,9
317,"1986 Fleer #57 Michael Jordan RC PSA 8 G.O.A.T. Bulls $8,499.99",8499.99,https://www.ebay.com/itm/1986-Fleer-57-Michael-Jordan-RC-PSA-8-G-O-A-T-Bulls-8-499-99-/204095443029,204095443029,,"Huntington Beach,CA,USA",Graded,2022-09-18,2025-01-09,8499.99,Active,8
318,1986 Fleer Michael Jordan RC Sticker #8 Graded PSA 8 NM-MT,1599.99,https://www.ebay.com/itm/1986-Fleer-Michael-Jordan-RC-Sticker-8-Graded-PSA-8-NM-MT-/166990144577,166990144577,,"Boise,ID,USA",Graded,2024-09-25,2025-01-09,1599.99,Active,8
319,1986 Fleer Sticker #8 * Michael Jordan * PSA 8 (OC),1100.0,https://www.ebay.com/itm/1986-Fleer-Sticker-8-Michael-Jordan-PSA-8-OC-/196568365101,196568365101,,"Baltimore,MD,USA",Graded,2024-08-18,2025-01-09,1100.0,Active,8
320,1986 Fleer Michael Jordan # 57 PSA 7 Fanatics Top 30%,7000.0,https://www.ebay.com/itm/1986-Fleer-Michael-Jordan-57-PSA-7-Fanatics-Top-30-/315723125757,315723125757,,"Williamston,MI,USA",Graded,2024-09-03,2025-01-09,7000.0,Active,7
321,1986 FLEER STICKER MICHEL JORDAN ROOKIE #8 PSA 9 MINT (OC),1599.99,https://www.ebay.com/itm/1986-FLEER-STICKER-MICHEL-JORDAN-ROOKIE-8-PSA-9-MINT-OC-/276493473324,276493473324,,"Roseville,CA,USA",Graded,2024-06-03,2025-01-09,1599.99,Active,9
322,MICHAEL JORDAN 1986/87 FLEER #57 RC ROOKIE CARD CHICAGO BULLS PSA 8 NM-MT,9349.99,https://www.ebay.com/itm/MICHAEL-JORDAN-1986-87-FLEER-57-RC-ROOKIE-CARD-CHICAGO-BULLS-PSA-8-NM-MT-/335276548890,335276548890,,"Cedar Park,TX,USA",Graded,2024-02-27,2025-01-09,9349.99,Active,8
323,1986 Fleer Basketball Sticker #8 Michael Jordan Rookie Card Graded PSA 9 MINT,4499.99,https://www.ebay.com/itm/1986-Fleer-Basketball-Sticker-8-Michael-Jordan-Rookie-Card-Graded-PSA-9-MINT-/305515279483,305515279483,,"Windsor,CO,USA",Graded,2024-04-16,2025-01-09,4499.99,Active,9
324,PSA 8 1986-87 Fleer Sticker #8 Michael Jordan Chicago Bulls,1599.99,https://www.ebay.com/itm/PSA-8-1986-87-Fleer-Sticker-8-Michael-Jordan-Chicago-Bulls-/405380312065,405380312065,,"Honolulu,HI,USA",Graded,2024-11-26,2025-01-09,1599.99,Active,8
325,MICHAEL JORDAN 1986 Fleer Rookie Sticker #8 PSA 5 (Centered Nice),800.0,https://www.ebay.com/itm/MICHAEL-JORDAN-1986-Fleer-Rookie-Sticker-8-PSA-5-Centered-Nice-/135476733026,135476733026,,"Palm Beach Gardens,FL,USA",Graded,2025-01-01,2025-01-09,800.0,Active,5
326,1986 Fleer Basketball DOC RIVERS #91 PSA 8 NM-Mint GRADED Set Break Marquette !,25.95,https://www.ebay.com/itm/1986-Fleer-Basketball-DOC-RIVERS-91-PSA-8-NM-Mint-GRADED-Set-Break-Marquette-/316109057288,316109057288,,"Gainesville,TX,USA",Graded,2025-01-06,2025-01-09,25.95,Active,8
327,1986-87 Fleer #57 Michael Jordan ROOKIE PSA 8 Graded Basketball Card NBA 86-87,17996.96,https://www.ebay.com/itm/1986-87-Fleer-57-Michael-Jordan-ROOKIE-PSA-8-Graded-Basketball-Card-NBA-86-87-/125556776296,125556776296,,"Salinas,CA,USA",Graded,2022-10-11,2025-01-09,17996.96,Active,8
331,1986 FLEER #57 MICHAEL JORDAN ROOKIE RC PSA 8,8500.0,https://www.ebay.com/itm/1986-FLEER-57-MICHAEL-JORDAN-ROOKIE-RC-PSA-8-/305973503837,305973503837,,"New Castle,DE,USA",Graded,2024-12-15,2025-01-09,8500.0,Active,8
332,Michael Jordan Rookie PSA 4 Fleer 1986 Vintage MJ Collector Card #57 RC Chicago,4923.0,https://www.ebay.com/itm/Michael-Jordan-Rookie-PSA-4-Fleer-1986-Vintage-MJ-Collector-Card-57-RC-Chicago-/124596276790,124596276790,,"Brookings,SD,USA",Graded,2021-02-26,2025-01-09,4923.0,Active,4
333,1986-87 Fleer MICHAEL JORDAN #57 RC Rookie On-Card Autograph Auto PSA 4 VG-EX,129995.0,https://www.ebay.com/itm/1986-87-Fleer-MICHAEL-JORDAN-57-RC-Rookie-On-Card-Autograph-Auto-PSA-4-VG-EX-/276720812431,276720812431,,"Westmont,IL,USA",Graded,2024-11-07,2025-01-09,129995.0,Active,4
334,1986 Fleer Basketball Albert King #59 PSA 9 Mint GRADED Set Break Sale Maryland,37.5,https://www.ebay.com/itm/1986-Fleer-Basketball-Albert-King-59-PSA-9-Mint-GRADED-Set-Break-Sale-Maryland-/316091601944,316091601944,,"Gainesville,TX,USA",Graded,2024-12-31,2025-01-09,37.5,Active,9
335,1984-85 Michael Jordan Rookie Schedule BGS 7.0 Near Mint,99.0,https://www.ebay.com/itm/1984-85-Michael-Jordan-Rookie-Schedule-BGS-7-0-Near-Mint-/276798569324,276798569324,,"Fulshear,TX,USA",Graded,2024-12-31,2025-01-09,99.0,Active,7
342,1986 Fleer Basketball ROBERT PARRISH 84 PSA 8.5 NM-MINT+ GRADED Set Break Boston,30.75,https://www.ebay.com/itm/1986-Fleer-Basketball-ROBERT-PARRISH-84-PSA-8-5-NM-MINT-GRADED-Set-Break-Boston-/316102237569,316102237569,,"Gainesville,TX,USA",Graded,2025-01-03,2025-01-09,30.75,Active,8
345,MICHAEL JORDAN 2006 FLEER MISSING LINKS GAME USED JERSEY PSA 9 ~ *RARER~1986 RC,698.97,https://www.ebay.com/itm/MICHAEL-JORDAN-2006-FLEER-MISSING-LINKS-GAME-USED-JERSEY-PSA-9-RARER-1986-RC-/226531451100,226531451100,,"Brooklyn,NY,USA",Graded,2025-01-07,2025-01-09,698.97,Active,9
348,1986 Fleer Basketball JEFF RULAND #96 PSA 7 NM GRADED Set Break Sale IONA !,19.95,https://www.ebay.com/itm/1986-Fleer-Basketball-JEFF-RULAND-96-PSA-7-NM-GRADED-Set-Break-Sale-IONA-/316091571078,316091571078,,"Gainesville,TX,USA",Graded,2024-12-31,2025-01-09,19.95,Active,7
