,title,price,url,item_id,bid_count,location,condition,start_time,date,sold_amount,date_sold,rating
184,1986-87 FLEER MICHAEL JORDAN ROOKIE RC #57 BGS 7.5 NEAR MINT,6000.0,https://www.ebay.com/itm/1986-87-FLEER-MICHAEL-JORDAN-ROOKIE-RC-57-BGS-7-5-NEAR-MINT-/316058431025,316058431025,,"Detroit,MI,USA",Graded,2024-12-18,2025-01-09,6000.0,Active,7
185,1986 Fleer Michael Jordan Sticker - Rookie Card #8 - PSA 9,3775.0,https://www.ebay.com/itm/1986-Fleer-Michael-Jordan-Sticker-Rookie-Card-8-PSA-9-/286150957734,286150957734,,"Birmingham,MI,USA",Graded,2024-11-07,2025-01-09,3775.0,Active,9
186,1986 Michael Jordan Fleer RC #57 PSA 8 - New Slab - POTENTIAL 9 REGRADE Opp,13000.0,https://www.ebay.com/itm/1986-Michael-Jordan-Fleer-RC-57-PSA-8-New-Slab-POTENTIAL-9-REGRADE-Opp-/266728226614,266728226614,,"Allen Park,MI,USA",Graded,2024-03-19,2025-01-09,13000.0,Active,8
187,1986 Fleer Michael Jordan #57 Rookie RC BGS 4.5 1986 fleer Sticker 7.5,4000.0,https://www.ebay.com/itm/1986-Fleer-Michael-Jordan-57-Rookie-RC-BGS-4-5-1986-fleer-Sticker-7-5-/276633998527,276633998527,,"Bluff City,TN,USA",Graded,2024-09-09,2025-01-09,4000.0,Active,4
188,1986 Fleer Sticker #8 Michael Jordan PSA 8 NM-MT,1200.0,https://www.ebay.com/itm/1986-Fleer-Sticker-8-Michael-Jordan-PSA-8-NM-MT-/375910281158,375910281158,,"Schulenburg,TX,USA",Graded,2025-01-07,2025-01-09,1200.0,Active,8
189,1986-87 Fleer Rookie #57 Michael Jordan BGS 8 with 9 Chicago Bulls GS1,6497.5,https://www.ebay.com/itm/1986-87-Fleer-Rookie-57-Michael-Jordan-BGS-8-9-Chicago-Bulls-GS1-/256777225472,256777225472,,"Miami,FL,USA",Graded,2025-01-09,2025-01-09,6497.5,Active,8
190,PSA 6 1986 Fleer Basketball #57 Michael Jordan Rookie RC *EYE APPEAL* TOP 5%,5699.0,https://www.ebay.com/itm/PSA-6-1986-Fleer-Basketball-57-Michael-Jordan-Rookie-RC-EYE-APPEAL-TOP-5-/266308893404,266308893404,,"Diamond Bar,CA,USA",Graded,2023-06-22,2025-01-09,5699.0,Active,6
192,"Michael Jordan, 1986 Fleer #57 RC Rookie, Beckett BGS 1.5 & Cardscore 57 graded",2995.0,https://www.ebay.com/itm/Michael-Jordan-1986-Fleer-57-RC-Rookie-Beckett-BGS-1-5-Cardscore-57-graded-/125249602664,125249602664,,"Hampton,VA,USA",Graded,2022-04-09,2025-01-09,2995.0,Active,1
193,1986 Fleer Michael Jordan #57 PSA 6 Rookie RC,6000.0,https://www.ebay.com/itm/1986-Fleer-Michael-Jordan-57-PSA-6-Rookie-RC-/315919133851,315919133851,,"Powell,OH,USA",Graded,2024-11-03,2025-01-09,6000.0,Active,6
195,Michael Jordan Chicago Bulls 1996 Decade of Excellence #4 PSA 9 MINT,44.99,https://www.ebay.com/itm/Michael-Jordan-Chicago-Bulls-1996-Decade-Excellence-4-PSA-9-MINT-/335754886292,335754886292,,"San Antonio,TX,USA",Graded,2025-01-02,2025-01-09,44.99,Active,9
196,1986 Fleer Michael Jordan ROOKIE RC PSA 6 #57,5100.0,https://www.ebay.com/itm/1986-Fleer-Michael-Jordan-ROOKIE-RC-PSA-6-57-/265940912738,265940912738,,"West Frankfort,IL,USA",Graded,2022-10-17,2025-01-09,5100.0,Active,6
